tag,doc_code,subtype_code,use_code,description,attribute,description_attr
REGION                                            ,0,0,0,"Region (county, province, etc.)                   ",REG                                               ,                                                  
SETTLEMENT                                        ,1,5,0,"Settlement (city, town, village)                  ",REG                                               ,                                                  
PLASTLITERARYACTIVITY                             ,1,4,1,Last Literary Activity                            ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,RELEVANCE3                                        ,Relevance3                                        
TIME                                              ,1,5,0,                                                  ,                                                  ,                                                  
PPERFORMANCE                                      ,1,4,1,Performance (of text)                             ,                                                  ,                                                  
SCHOOL                                            ,2,0,1,School                                            ,SOCIO-ECOSTANDING                                 ,Socio-Eco Standing                                
SELFCONSTRUCTED                                   ,2,0,0,Self Constructed Name                             ,REG                                               ,                                                  
PLACENAME                                         ,2,0,1,Placename (e.g. building name)                    ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,0,Political Affiliation                             ,HISTORICALTERM                                    ,Historical Term                                   
DIV2                                              ,2,0,0,                                                  ,                                                  ,                                                  
ORGNAME                                           ,1,5,0,Organization Name                                 ,STANDARD                                          ,                                                  
TOPIC                                             ,1,5,0,Topic                                             ,                                                  ,                                                  
ALTERNATE                                         ,5,0,0,                                                  ,                                                  ,                                                  
ORGNAME                                           ,2,0,0,Organization Name                                 ,REG                                               ,                                                  
AUTHORSUMMARY                                     ,0,0,1,Author Summary                                    ,                                                  ,                                                  
ORLANDOHEADER                                     ,2,0,0,                                                  ,                                                  ,                                                  
P                                                 ,0,0,0,                                                  ,                                                  ,                                                  
TITLE                                             ,1,5,0,Title (of text)                                   ,REG                                               ,                                                  
SURNAME                                           ,2,0,1,Surname (at birth)                                ,                                                  ,                                                  
TITLE                                             ,6,0,1,Title (of text)                                   ,TITLETYPE                                         ,Title Type                                        
RECEPTION                                         ,0,0,1,Reception (literary)                              ,                                                  ,                                                  
CLASS                                             ,2,0,0,Class                                             ,HISTORICALTERM                                    ,Historical Term                                   
STANDARD                                          ,5,0,0,                                                  ,REG                                               ,                                                  
ORGNAME                                           ,6,0,1,Organization Name                                 ,                                                  ,                                                  
NATIONALITY                                       ,2,0,0,Nationality                                       ,HISTORICALTERM                                    ,Historical Term                                   
MONTH                                             ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,CHRONCOLUMN3                                      ,Chronology Column3                                
NOTE                                              ,1,4,0,                                                  ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,WOMAN-GENDERISSUE                                 ,Woman-Gender Issue                                
RRESPONSES                                        ,1,4,1,Responses (literary)                              ,RESPONSETYPE                                      ,Response Type                                     
PARCHIVALLOCATION                                 ,0,0,1,Archival Location                                 ,                                                  ,                                                  
DATERANGE                                         ,2,0,0,                                                  ,FROM                                              ,                                                  
SEASON                                            ,2,0,0,                                                  ,REG                                               ,                                                  
PRELATIONSWITHPUBLISHER                           ,1,4,1,Relations with Publisher                          ,                                                  ,                                                  
RACECOLOUR                                        ,2,0,0,"Race, Colour                                      ",REG                                               ,                                                  
YEAR                                              ,0,0,0,                                                  ,REG                                               ,                                                  
PMATERIALCONDITIONS                               ,1,4,1,Material Conditions (of writing)                  ,                                                  ,                                                  
PLITERARYSCHOOLS                                  ,0,0,0,Literary Schools                                  ,REG                                               ,                                                  
DATE_OF_ORIGINAL_PUBLICATION                      ,5,0,0,                                                  ,NO_DATE                                           ,                                                  
BIBCITS                                           ,2,0,0,                                                  ,                                                  ,                                                  
DATESTRUCT                                        ,2,0,0,                                                  ,                                                  ,                                                  
SEASON                                            ,1,4,0,                                                  ,REG                                               ,                                                  
EMPH                                              ,1,4,0,                                                  ,                                                  ,                                                  
SCHOOL                                            ,1,4,0,School                                            ,REG                                               ,                                                  
SCOPE                                             ,5,0,0,                                                  ,                                                  ,                                                  
ORGNAME                                           ,5,0,1,Organization Name                                 ,                                                  ,                                                  
TIME                                              ,2,0,0,                                                  ,TYPE                                              ,                                                  
DENOMINATION                                      ,2,0,0,Denomination                                      ,HISTORICALTERM                                    ,Historical Term                                   
TTONESTYLE                                        ,1,4,1,Tone or Style                                     ,                                                  ,                                                  
REGION                                            ,1,4,1,"Region (county, province, etc.)                   ",                                                  ,                                                  
NATIONALHERITAGE                                  ,2,0,0,National Heritage                                 ,REG                                               ,                                                  
RPENALTIES                                        ,1,4,1,Penalties (for writing)                           ,                                                  ,                                                  
ANALYTIC                                          ,5,0,0,                                                  ,                                                  ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,FROM                                              ,                                                  
PNONSURVIVAL                                      ,1,4,1,Non Survival (of text)                            ,                                                  ,                                                  
TITLE                                             ,5,0,0,                                                  ,TITLEYPE                                          ,                                                  
JOB                                               ,2,0,1,Job                                               ,                                                  ,                                                  
ADDRESS                                           ,1,5,0,Address (within place)                            ,CURRENT                                           ,                                                  
DATE                                              ,1,5,0,Date                                              ,VALUE                                             ,                                                  
TTECHNIQUES                                       ,1,4,1,Techniques                                        ,                                                  ,                                                  
ORLANDOHEADER                                     ,0,0,0,                                                  ,                                                  ,                                                  
DATASTRUCT                                        ,2,0,0,                                                  ,                                                  ,                                                  
TITLE                                             ,1,5,1,Title (of text)                                   ,                                                  ,                                                  
DIV2                                              ,0,0,0,                                                  ,ID                                                ,                                                  
CHILDLESSNESS                                     ,2,0,1,Childlessness                                     ,                                                  ,                                                  
LANGUAGE                                          ,5,0,0,                                                  ,                                                  ,                                                  
SIGNIFICANTACTIVITY                               ,1,4,1,Significant Activity (unpaid)                     ,PHILANTHROPYVOLUNTEER                             ,Philanthropy Volunteer                            
PLACENAME                                         ,1,4,0,Placename (e.g. building name)                    ,REG                                               ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,AR_ID                                             ,                                                  
TGENRE                                            ,1,4,1,Genre                                             ,GENRENAME                                         ,Genre Name                                        
AWARD                                             ,2,0,0,Award (educational)                               ,REG                                               ,                                                  
DATE                                              ,1,4,0,Date                                              ,VALUE                                             ,                                                  
SIGNIFICANTACTIVITY                               ,1,4,0,Significant Activity (unpaid)                     ,REG                                               ,                                                  
DATERANGE                                         ,1,5,0,                                                  ,                                                  ,                                                  
DATESTRUCT                                        ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
TPLOT                                             ,0,0,1,Plot                                              ,                                                  ,                                                  
BIRTHPOSITION                                     ,2,0,1,Birth Position                                    ,POSITION                                          ,Position                                          
LOCATION                                          ,2,0,1,Location (in writer's life)                       ,RELATIONTO                                        ,Relation To                                       
DATERANGE                                         ,0,0,0,                                                  ,                                                  ,                                                  
RACECOLOUR                                        ,2,0,0,"Race, Colour                                      ",CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
PANTHOLOGIZATION                                  ,1,4,1,Anthologization                                   ,                                                  ,                                                  
NATIONALHERITAGE                                  ,2,0,1,National Heritage                                 ,SELF-DEFINED                                      ,Self-Defined                                      
SOCALLED                                          ,2,0,0,Socalled                                          ,                                                  ,                                                  
TOPIC                                             ,1,4,0,Topic                                             ,STANDARD                                          ,                                                  
BIBCIT                                            ,1,5,0,Bibliographic Citation                            ,DBREF                                             ,                                                  
CHILDREN                                          ,1,4,1,Children                                          ,NUMBER                                            ,Number                                            
PMOTIVES                                          ,1,4,1,Motives (literary)                                ,                                                  ,                                                  
RESEARCHNOTE                                      ,1,4,0,                                                  ,                                                  ,                                                  
FOREIGN                                           ,1,4,0,                                                  ,                                                  ,                                                  
TIME                                              ,1,4,0,                                                  ,VALUE                                             ,                                                  
GENERICRANGE                                      ,0,0,1,Generic Range                                     ,                                                  ,                                                  
INSTRUCTOR                                        ,2,0,1,Instructor                                        ,                                                  ,                                                  
PLACE                                             ,1,5,1,Place                                             ,                                                  ,                                                  
TCHARACTERIZATION                                 ,1,4,1,Characterization                                  ,                                                  ,                                                  
TCHARACTERNAME                                    ,1,5,1,Character Name                                    ,                                                  ,                                                  
LG                                                ,0,0,0,                                                  ,TYPE                                              ,                                                  
SEXUALITY                                         ,2,0,1,Sexuality                                         ,                                                  ,                                                  
PPERIODICALPUBLICATION                            ,0,0,1,Periodical Publication                            ,                                                  ,                                                  
PSERIALIZATION                                    ,0,0,1,Serialization                                     ,                                                  ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,                                                  ,                                                  
GEOG                                              ,1,4,0,Geography (country or continent)                  ,CURRENT                                           ,                                                  
TINTERTEXTUALITY                                  ,0,0,1,Intertextuality                                   ,                                                  ,                                                  
PMANUSCRIPTHISTORY                                ,1,4,1,Manuscript History                                ,                                                  ,                                                  
DENOMINATION                                      ,2,0,1,Denomination                                      ,SELF-DEFINED                                      ,Self-Defined                                      
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,RELEVANCE                                         ,Relevance                                         
TINTERTEXTUALITY                                  ,1,4,0,Intertextuality                                   ,SEXOFAUTHOR                                       ,Sex Of Author                                     
PLACE                                             ,0,0,1,Place                                             ,                                                  ,                                                  
ORGNAME                                           ,1,5,1,Organization Name                                 ,                                                  ,                                                  
BIBCIT                                            ,2,0,0,Bibliographic Citation                            ,DBREF                                             ,                                                  
L                                                 ,1,5,0,Line (of poetry)                                  ,                                                  ,                                                  
BIBCIT                                            ,1,5,0,Bibliographic Citation                            ,PLACEHOLDER                                       ,                                                  
SOURCEDESC                                        ,0,0,0,                                                  ,                                                  ,                                                  
PTYPEOFPRESS                                      ,0,0,1,Type of Press                                     ,                                                  ,                                                  
ORGNAME                                           ,5,0,0,Organization Name                                 ,STANDARD                                          ,                                                  
CULTURALFORMATION                                 ,2,0,1,Cultural Formation                                ,                                                  ,                                                  
BIBCIT                                            ,2,0,0,Bibliographic Citation                            ,QTDIN                                             ,Quoted In                                         
TITLE                                             ,0,0,0,Title (of text)                                   ,REG                                               ,                                                  
TITLESTMT                                         ,2,0,0,                                                  ,                                                  ,                                                  
NAME                                              ,2,0,1,Name                                              ,                                                  ,                                                  
ORGNAME                                           ,0,0,1,Organization Name                                 ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,CHRONCOLUMN2                                      ,Chronology Column2                                
DATE_OF_PUBLICATION                               ,5,0,0,                                                  ,                                                  ,                                                  
REGION                                            ,1,5,0,"Region (county, province, etc.)                   ",REG                                               ,                                                  
CLASS                                             ,2,0,1,Class                                             ,SELF-DEFINED                                      ,Self-Defined                                      
TINTERTEXTUALITY                                  ,0,0,0,Intertextuality                                   ,SEXOFAUTHOR                                       ,Sex Of Author                                     
PPERIODICALPUBLICATION                            ,1,4,1,Periodical Publication                            ,                                                  ,                                                  
TGENRE                                            ,0,0,1,Genre                                             ,GENRENAME                                         ,Genre Name                                        
SEASON                                            ,1,5,0,                                                  ,VALUE                                             ,                                                  
RRECOGNITIONVALUE                                 ,0,0,1,Recognition Value                                 ,                                                  ,                                                  
PRARITIESFEATURESDECORATIONS                      ,1,4,1,"Rarities, Features, Decorations                   ",                                                  ,                                                  
DATE                                              ,1,4,1,Date                                              ,CALENDAR                                          ,Calendar                                          
PDEDICATION                                       ,0,0,1,Dedication                                        ,                                                  ,                                                  
PDEDICATION                                       ,1,4,1,Dedication                                        ,                                                  ,                                                  
PLACE                                             ,1,4,1,Place                                             ,                                                  ,                                                  
SETTLEMENT                                        ,1,5,0,"Settlement (city, town, village)                  ",CURRENT                                           ,                                                  
SEXUALIDENTITY                                    ,1,4,1,Sexual Identity                                   ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
DIVORCE                                           ,2,0,1,Divorce                                           ,                                                  ,                                                  
PAUTHORSHIP                                       ,1,4,1,Authorship                                        ,AUTHORSHIPCONTROVERSY                             ,Authorship Controversy                            
PAUTHORSHIP                                       ,0,0,1,Authorship                                        ,AUTHORSHIPCONTROVERSY                             ,Authorship Controversy                            
ORGNAME                                           ,5,0,0,Organization Name                                 ,REG                                               ,                                                  
DATERANGE                                         ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
YEAR                                              ,0,0,0,                                                  ,CERTAINTY                                         ,                                                  
BIBCIT                                            ,0,0,0,Bibliographic Citation                            ,DBREF                                             ,                                                  
ADDRLINE                                          ,2,0,0,                                                  ,                                                  ,                                                  
TMOTIF                                            ,0,0,1,Motif                                             ,MOTIFNAME                                         ,Motif Name                                        
DATERANGE                                         ,1,5,0,                                                  ,EXACT                                             ,                                                  
QUOTE                                             ,1,4,1,Quote                                             ,                                                  ,                                                  
QUOTE                                             ,0,0,0,Quote                                             ,DIRECT                                            ,Direct                                            
AUTHOR_ROLE                                       ,5,0,0,                                                  ,BI_ID                                             ,                                                  
DATERANGE                                         ,1,5,0,                                                  ,CALENDAR                                          ,                                                  
FAMILY                                            ,2,0,1,Family                                            ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,NAME_TYPE                                         ,                                                  
GEOG                                              ,0,0,0,Geography (country or continent)                  ,CURRENT                                           ,                                                  
TINTERTEXTUALITY                                  ,0,0,1,Intertextuality                                   ,GENDEROFAUTHOR                                    ,Gender of Author                                  
NATIONALHERITAGE                                  ,2,0,1,National Heritage                                 ,                                                  ,                                                  
QUOTE                                             ,2,0,0,Quote                                             ,DIRECT                                            ,Direct                                            
PEDITIONS                                         ,1,4,1,Editions                                          ,                                                  ,                                                  
PMATERIALCONDITIONS                               ,0,0,1,Material Conditions (of writing)                  ,DISPLACEMENT                                      ,Displacement                                      
TEXTUALFEATURES                                   ,0,0,1,Textual Features                                  ,                                                  ,                                                  
ETHNICITY                                         ,2,0,0,Ethnicity                                         ,REG                                               ,                                                  
REGION                                            ,6,0,1,"Region (county, province, etc.)                   ",                                                  ,                                                  
TITLE                                             ,2,0,1,Title (of text)                                   ,TITLETYPE                                         ,Title Type                                        
SCHOLARNOTE                                       ,1,5,1,Scholarly note                                    ,                                                  ,                                                  
RACEANDETHNICITY                                  ,2,0,1,Race and Ethnicity                                ,                                                  ,                                                  
FOREIGN                                           ,1,4,0,                                                  ,LANG                                              ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,CHRONCOLUMN                                       ,Chronology Column                                 
TTECHNIQUES                                       ,0,0,1,Techniques                                        ,TECHNIQUETYPE                                     ,Technique Type                                    
ROYAL                                             ,2,0,1,Royal Name                                        ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
JOB                                               ,2,0,0,Job                                               ,REG                                               ,                                                  
DATESTRUCT                                        ,2,0,0,                                                  ,VALUE                                             ,                                                  
TSETTINGPLACE                                     ,1,4,1,Setting Place                                     ,SETTINGPLACETYPE                                  ,Setting Place Type                                
SIC                                               ,2,0,0,                                                  ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,RELEVANCE1                                        ,Relevance1                                        
DAY                                               ,1,4,0,                                                  ,VALUE                                             ,                                                  
KEYWORD                                           ,5,0,0,                                                  ,                                                  ,                                                  
RELIGIOUSNAME                                     ,2,0,1,Religious Name                                    ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
SCHOLARNOTE                                       ,0,0,1,Scholarly note                                    ,                                                  ,                                                  
KEYWORD                                           ,5,0,0,                                                  ,TYPE                                              ,                                                  
DATE                                              ,1,4,1,Date                                              ,                                                  ,                                                  
PSERIALIZATION                                    ,0,0,1,Serialization                                     ,FORMOFSERIALIZATION                               ,Form Of Serialization                             
DATERANGE                                         ,0,0,0,                                                  ,EXACT                                             ,                                                  
TITLESTMT                                         ,0,0,0,                                                  ,                                                  ,                                                  
RACECOLOUR                                        ,2,0,1,"Race, Colour                                      ",FOREBEAR                                          ,Forebear                                          
RELIGIOUSNAME                                     ,2,0,1,Religious Name                                    ,                                                  ,                                                  
LINK                                              ,0,0,0,                                                  ,                                                  ,                                                  
NAME                                              ,1,4,1,Name                                              ,                                                  ,                                                  
SEXUALIDENTITY                                    ,1,4,1,Sexual Identity                                   ,                                                  ,                                                  
QUOTE                                             ,5,0,0,                                                  ,                                                  ,                                                  
DENOMINATION                                      ,2,0,1,Denomination                                      ,                                                  ,                                                  
TCHARACTERTYPEROLE                                ,1,4,1,Character Type or Role                            ,PROTAGONIST                                       ,Protagonist                                       
GEOG                                              ,1,5,0,Geography (country or continent)                  ,REG                                               ,                                                  
ADDRESS                                           ,0,0,0,Address (within place)                            ,REG                                               ,                                                  
RRESPONSES                                        ,0,0,1,Responses (literary)                              ,GENDEREDRESPONSE                                  ,Gendered Response                                 
HEALTH                                            ,2,0,1,Health                                            ,ISSUE                                             ,Issue                                             
POLITICS                                          ,2,0,1,Politics                                          ,                                                  ,                                                  
RRECOGNITIONNAME                                  ,1,4,0,Recognition Name                                  ,REG                                               ,                                                  
DATERANGE                                         ,1,5,0,                                                  ,FROM                                              ,                                                  
PAUTHORSHIP                                       ,0,0,1,Authorship                                        ,CONTROVERSYDATE                                   ,Controversy Date                                  
ORGNAME                                           ,0,0,0,Organization Name                                 ,REG                                               ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,RELEVANCE1                                        ,Relevance1                                        
AWARD                                             ,2,0,1,Award (educational)                               ,AWARDTYPE                                         ,Award Type                                        
CAUSE                                             ,2,0,1,Cause of Death                                    ,                                                  ,                                                  
YEAR                                              ,1,4,0,                                                  ,                                                  ,                                                  
CLASS                                             ,1,4,1,Class                                             ,                                                  ,                                                  
CONTESTEDBEHAVIOUR                                ,1,4,1,Contested Behaviour (at school)                   ,                                                  ,                                                  
REMUNERATION                                      ,1,4,0,Remuneration (non-literary)                       ,CURRENCYTYPE                                      ,Currency Type                                     
PINFLUENCESHER                                    ,1,4,1,Influences Her                                    ,INFLUENCETYPE                                     ,Influence Type                                    
GEOG                                              ,2,0,0,Geography (country or continent)                  ,CURRENT                                           ,                                                  
DENOMINATION                                      ,1,4,1,Denomination                                      ,SELF-DEFINED                                      ,Self-Defined                                      
SETTLEMENT                                        ,1,5,1,"Settlement (city, town, village)                  ",                                                  ,                                                  
FOREIGN                                           ,2,0,0,                                                  ,REG                                               ,                                                  
MONTH                                             ,1,5,0,                                                  ,                                                  ,                                                  
NATIONALHERITAGE                                  ,2,0,1,National Heritage                                 ,FOREBEAR                                          ,Forebear                                          
ADDRLINE                                          ,0,0,0,                                                  ,                                                  ,                                                  
